Striped Warp Reduction (4x physical cores occupied),41-44,3d_27pt,256,128,128,4194304,Dot,vanilla_version
0.103904
0.101376
0.101376
0.100352
0.101536
0.101376
0.102304
0.101376
0.101344
0.101376
