Striped Warp Reduction (4x physical cores occupied),41-44,3d_27pt,128,128,128,2097152,Dot,vanilla_version
0.064032
0.062592
0.062464
0.062464
0.062496
0.06144
0.062464
0.062272
0.061696
0.061536
