Striped Warp Reduction,41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version_RR Norm: 0.114762
0.813056
0.812032
0.812032
0.811904
0.812032
0.812
0.811008
0.812032
0.812032
0.812032
