Striped Warp Reduction,41-44,3d_27pt,8,8,8,10648,SPMV,vanilla_version_RR Norm: 0.114762
0.015648
0.013312
0.013312
0.017344
0.012288
0.011264
0.011264
0.011392
0.012288
0.011264
