Striped Box coloring (coloringBox: 3x3x3) (coop_num: 4),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version_RR Norm: 0.199118
1.8776
1.86643
1.88269
1.86851
1.8831
1.87322
1.88944
1.89898
1.87104
1.86419
