Striped Box coloring (coloringBox: 6x6x6) (coop_num: 4),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_RR Norm: 0.471458
50.9599
49.2492
48.0233
47.9732
47.9326
47.9697
47.9719
47.9911
47.9613
47.8364
