Striped Box coloring (coloringBox: 8x8x8) (coop_num: 4),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_RR Norm: 0.410252
35.2428
35.1009
35.1936
35.2636
35.1448
35.1637
35.1889
35.1271
35.2478
35.1748
