Striped Box coloring (coloringBox: 8x8x8) (coop_num: 4),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version_RR Norm: 0.0928309
19.7589
19.7467
19.7292
19.8278
19.7448
19.8163
19.7314
19.8921
19.8444
19.741
