Striped Box coloring (coloringBox: 3x3x3) (coop_num: 4),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_RR Norm: 0.33989
3.79312
3.54426
3.5424
3.53082
3.54042
3.56221
3.53786
3.53613
3.56726
3.54934
