Striped Box coloring (coloringBox: 3x3x3) (coop_num: 4),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version_RR Norm: 0.104364
1.61066
1.59984
1.59792
1.60298
1.61811
1.60688
1.61917
1.59747
1.59763
1.6041
