Striped Box coloring (coloringBox: 4x4x4) (coop_num: 4),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version_RR Norm: 0.19228
4.04819
4.0503
4.05712
4.05293
4.05264
4.04326
4.04211
4.04102
4.04397
4.0425
