Striped Box coloring (coloringBox: 5x5x5) (coop_num: 4),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_RR Norm: 0.327868
10.1182
9.84877
9.86182
9.85248
9.84624
9.83574
9.8601
9.89373
9.84963
9.86723
