Striped Box coloring (coloringBox: 5x5x5) (coop_num: 4),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version_RR Norm: 0.191164
7.64285
7.62381
7.61168
7.61818
7.60893
7.60576
7.61949
7.61712
7.63869
7.62365
