Striped Box coloring (coloringBox: 4x4x4) (coop_num: 4),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_RR Norm: 0.332211
6.04218
5.80765
5.79542
5.78573
5.78259
5.80858
5.79152
5.80019
5.83146
5.79827
