Striped Box coloring (coloringBox: 3x3x3) (coop_num: 4),41-44,3d_27pt,256,128,128,111777784,SymGS,vanilla_version_RR Norm: 0.51599
179.906
177.888
177.506
177.78
178.456
177.933
178.085
177.843
177.623
177.638
