Striped Box coloring (COR stored on GPU),41-44,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version
26.0653
26.087
26.1363
26.0996
26.1614
26.0832
26.071
26.0678
26.1703
26.1342
