Striped Box coloring (COR stored on GPU),41-44,3d_27pt,128,64,64,13790200,CG_noPreconditioning,vanilla_version
62.3812
62.3489
62.4862
62.4406
62.3831
62.3317
62.4211
62.4999
62.3026
62.3768
