Striped Box coloring (COR stored on GPU),41-44,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version
8.40195
8.4208
8.44246
8.42778
8.36918
8.35546
8.36157
8.38189
8.36227
8.36435
