Striped Box coloring,41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_RR Norm: 0.418324
8.8289
8.78323
8.76966
8.76813
8.77792
8.75981
8.78093
8.77466
8.7687
8.75178
