Striped Box coloring (COR stored on GPU),41-44,3d_27pt,24,24,24,343000,CG_noPreconditioning,vanilla_version
4.36768
4.42224
4.37885
4.3888
4.38912
4.41814
4.38691
4.38237
4.3729
4.35254
