Striped Box coloring (COR stored on GPU),41-44,3d_27pt,8,8,8,10648,CG_noPreconditioning,vanilla_version
1.26813
1.24694
1.24646
1.24006
1.26899
1.2519
1.26147
1.2423
1.2375
1.26448
