Striped Box coloring (COR stored on GPU),41-44,3d_27pt,16,16,16,97336,CG_noPreconditioning,vanilla_version
2.7168
2.7033
2.69728
2.70592
2.69283
2.69706
2.69002
2.6919
2.69117
2.69066
