Striped Box coloring,41-44,3d_27pt,24,24,24,343000,SymGS,vanilla_version_RR Norm: 0.152827
1.68278
1.68858
1.69251
1.68682
1.69075
1.68154
1.68285
1.7097
1.69859
1.6921
