Banded Preprocessed (x=random),41-44,3d_27pt,32,32,32,830584,SymGS,SymGS cooperation number = 16
83.0569
83.078
83.0557
83.0082
83.0669
83.0791
83.0464
83.0719
83.0561
83.0279
