Banded Preprocessed (x=random),41-44,3d_27pt,8,8,8,10648,SymGS,SymGS cooperation number = 16
1.2503
1.19808
1.19808
1.19712
1.19706
1.19706
1.19795
1.19715
1.19808
1.19808
