Banded Preprocessed (x=random),41-44,3d_27pt,128,128,64,27725560,SymGS,SymGS cooperation number = 16
2784.68
2759.91
2759.94
2759.94
2759.93
2759.92
2759.93
2759.91
2759.9
2759.91
