Banded Preprocessed (x=random),41-44,3d_27pt,16,16,16,97336,SymGS,SymGS cooperation number = 16
9.37472
9.35834
9.35731
9.35834
9.35936
9.35734
9.35738
9.36038
9.35834
9.36038
