Banded Preprocessed (x=random),41-44,3d_27pt,128,128,128,55742968,SymGS,SymGS cooperation number = 16
5538.28
5520.95
5520.95
5520.97
5520.89
5520.97
5520.94
5520.95
5520.94
5521.02
