Banded Preprocessed (x=random),41-44,3d_27pt,128,64,64,13790200,SymGS,SymGS cooperation number = 16
1399.65
1379.9
1379.88
1379.92
1379.92
1379.86
1379.93
1379.92
1379.92
1379.92
