BaseTorch,41-44,3d_27pt,24,24,24,343000,MG
18636.23828125
18625.18359375
18612.06640625
18606.912109375
18603.69921875
18555.744140625
18588.27734375
18584.169921875
18640.41015625
18605.853515625
