Banded Warp Reduction (loop body in method),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version
5179.32
5177.71
5193.88
5204.7
5204.69
5204.65
5204.64
5204.61
5204.58
5204.69
