Striped Box coloring (coloringBox: 7x7x7),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version_L2 Norm: 32.0088
6.12966
6.13786
6.1143
6.11942
6.12147
6.11226
6.12557
6.1183
6.10611
6.11942
