Striped Box coloring (coloringBox: 7x7x7),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version_L2 Norm: 68.2336
7.18541
7.15776
7.15162
7.15162
7.15578
7.19872
7.15264
7.15469
7.15981
7.17619
