Striped Box coloring (coloringBox: 3x3x3),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_L2 Norm: 518.228
2.14691
2.13542
2.13485
2.13738
2.13242
2.13424
2.13312
2.16243
2.1689
2.16285
