Striped Box coloring (coloringBox: 7x7x7),41-44,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_L2 Norm: 704.078
9.61882
9.78893
9.75491
9.75773
9.76294
9.31904
9.03094
9.0393
9.04378
9.03165
