Striped Box coloring (coloringBox: 5x5x5),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_L2 Norm: 1049
9.20768
9.23152
9.23936
9.24384
9.24416
9.2199
9.23382
9.23491
9.24365
9.23021
