Striped Box coloring (coloringBox: 4x4x4),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version_L2 Norm: 35.2006
1.29229
1.2881
1.27488
1.27898
1.27283
1.29331
1.28307
1.28102
1.29741
1.27795
