Striped Box coloring (coloringBox: 4x4x4),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version_L2 Norm: 178.057
1.85088
1.82496
1.82442
1.82214
1.82237
1.82512
1.82045
1.8191
1.81962
1.82115
