Striped Box coloring (coloringBox: 6x6x6),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_L2 Norm: 503.015
6.10931
6.10051
6.1033
6.0961
6.08598
6.09046
6.09997
6.10003
6.12691
6.11136
