Striped Box coloring (coloringBox: 6x6x6),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version_L2 Norm: 172.191
6.02262
6.00874
5.98259
5.97094
5.99072
5.97635
5.98061
6.00534
5.98442
5.98355
