Striped Box coloring (coloringBox: 4x4x4),41-44,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_L2 Norm: 747.113
4.79469
4.79344
4.80806
4.81098
4.81216
4.82205
4.83139
4.80605
4.81094
5.00851
