Striped Box coloring (coloringBox: 4x4x4),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_L2 Norm: 1070.6
7.84278
7.86653
7.86378
7.86384
7.86317
7.86656
7.86525
7.8737
7.87818
7.87357
