Striped Box coloring (coloringBox: 3x3x3),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_L2 Norm: 1547.54
13.6005
13.6142
13.6159
13.6134
13.7181
13.6168
13.6168
13.6131
13.6155
13.6118
