Striped Box coloring (coloringBox: 6x6x6),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_L2 Norm: 1029.66
9.44941
9.45763
9.48986
9.4897
9.4905
9.47306
9.49171
9.48368
9.4927
9.5287
