Striped Box coloring (coloringBox: 3x3x3),41-44,3d_27pt,256,128,128,111777784,SymGS,vanilla_version_L2 Norm: 2205
27.3579
26.491
26.4846
26.5028
26.5427
26.5436
23.6702
23.6686
23.7124
23.8307
