Striped Box coloring (coloringBox: 8x8x8),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version_L2 Norm: 65.4538
9.93792
9.41466
9.40339
9.37584
9.37984
9.38701
9.39418
9.38189
9.37984
9.40134
