Striped Box coloring (coloringBox: 5x5x5),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version_L2 Norm: 174.494
3.51187
3.49235
3.49475
3.48346
3.50768
3.50058
3.49619
3.49462
3.64688
3.49686
