Striped Box coloring (coloringBox: 8x8x8),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_L2 Norm: 493.159
13.257
13.2558
13.2743
13.2778
13.2907
13.2592
13.2601
13.2927
13.2632
13.2926
