Striped Box coloring (coloringBox: 5x5x5),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version_L2 Norm: 64.1176
3.37824
3.36384
3.35974
3.36282
3.35667
3.35565
3.35981
3.36998
3.36896
3.36384
