Striped Box coloring (coloringBox: 4x4x4),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_L2 Norm: 516.953
2.83651
2.85706
2.86381
2.86048
2.86109
2.85459
2.85936
2.85555
2.86195
2.86272
