Striped Box coloring (coloringBox: 5x5x5),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_L2 Norm: 509.547
3.57664
3.6024
3.61811
3.60122
3.60086
3.60189
3.61869
3.64298
3.60698
3.60106
