Striped Box coloring (coloringBox: 8x8x8),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version_L2 Norm: 32.8809
9.1095
9.0665
9.05318
9.07059
9.11462
9.08288
9.07168
9.09722
9.06342
9.06752
