Striped Box coloring (coloringBox: 7x7x7),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_L2 Norm: 487.596
9.61434
9.62506
9.63878
9.6121
9.62166
9.61648
9.6199
9.62912
9.65699
8.98093
