Striped Box coloring (coloringBox: 4x4x4),41-44,3d_27pt,256,128,128,111777784,SymGS,vanilla_version_L2 Norm: 2183.79
26.1754
26.1026
26.0929
26.2121
26.115
26.1057
26.1648
23.4993
23.5066
23.511
