Striped Box coloring (coloringBox: 6x6x6),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version_L2 Norm: 36.2108
3.90349
3.8953
3.90042
3.91373
3.9168
3.90762
3.92397
3.90861
3.89949
3.8953
