Striped Box coloring (coloringBox: 3x3x3),41-44,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_L2 Norm: 746.219
3.91562
3.91683
3.91453
3.9151
3.92435
3.93158
3.92957
3.92957
3.92992
3.92755
