Striped Box coloring (coloringBox: 8x8x8),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_L2 Norm: 1449.82
20.6768
20.7727
20.7635
20.8091
20.7365
20.7522
20.7608
20.7197
20.7438
20.7256
