Striped Box coloring (coloringBox: 5x5x5),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version_L2 Norm: 35.6909
2.32243
2.3337
2.33779
2.3295
2.33584
2.32141
2.31523
2.31629
2.31434
2.31731
