Striped Box coloring (coloringBox: 5x5x5),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_L2 Norm: 1490.41
13.9575
13.9843
13.9833
13.9887
13.9747
13.9792
13.9819
13.9806
13.9677
13.9884
