MatlabReference,41-44,3d_27pt,32,32,32,830584,SymGS
41742.53515625
41903.53515625
41902.59375
41911.22265625
41910.81640625
41904.1171875
41894.6015625
41896.109375
41903.19140625
41915.2578125
