Striped Box coloring (coloringBox: 3x3x3) (coop_num: 4),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version_RR Norm: 0.0538694
2.64419
2.64077
2.66922
2.63018
2.628
2.64029
2.63555
2.63331
2.64682
2.63261
