Striped Warp Reduction (kernel reduction - cooperation number = 2),41-44,3d_27pt,128,128,128,2097152,Dot,vanilla_version
0.076064
0.075968
0.074752
0.074688
0.074752
0.075776
0.075776
0.074752
0.074752
0.074752
