Striped Warp Reduction (kernel reduction - cooperation number = 8),41-44,3d_27pt,64,64,64,262144,Dot,vanilla_version
0.02848
0.026624
0.026496
0.0256
0.0256
0.0256
0.0256
0.025504
0.026624
0.0256
