Striped Warp Reduction (kernel reduction - cooperation number = 32),41-44,3d_27pt,16,16,16,4096,Dot,vanilla_version
0.013088
0.01344
0.012288
0.011264
0.012288
0.012288
0.011264
0.011264
0.011264
0.012288
